label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
calibration,calibration,default,64,64,3,1234,1,0,56,591749,16542,468327,18118,2682218,2768517,1,139
calibration,calibration,default,64,64,3,1234,2,0,100,584885,14723,445244,15241,2535589,2278099,2,141
calibration,calibration,default,64,64,3,1234,3,0,53,618738,14848,490936,15640,2805846,2221547,1,139
calibration,calibration,default,64,64,3,1234,4,0,55,599677,14918,474883,14644,2718516,2152208,1,141
calibration,calibration,default,64,64,3,1234,5,0,100,564542,13701,431396,13014,2451565,2064048,1,139
calibration,calibration,default,64,64,3,1234,6,0,54,615916,15078,487785,15893,2791945,2264218,1,139
calibration,calibration,default,64,64,3,1234,7,0,100,564798,14142,431466,12759,2455172,1988604,1,136
calibration,calibration,default,64,64,3,1234,8,0,100,568415,13758,434462,13573,2468311,2147060,1,141
calibration,calibration,default,64,64,3,1234,9,0,53,619253,14992,490838,15254,2809910,2224261,1,140
calibration,calibration,default,64,64,3,1234,10,0,100,566799,14021,432788,14734,2462629,2089216,1,138
calibration,calibration,default,64,64,3,1234,11,0,100,566396,13704,432549,12738,2462535,2031603,1,138
calibration,calibration,default,64,64,3,1234,12,0,52,630248,15218,500109,14852,2855929,2229146,1,141
calibration,calibration,default,64,64,3,1234,13,0,100,568092,13664,433456,13116,2470899,2057407,1,139
calibration,calibration,default,64,64,3,1234,14,0,100,568583,13802,434466,13074,2468903,2106513,1,140
calibration,calibration,default,64,64,3,1234,15,0,100,569603,14067,435015,13694,2474523,2066734,1,139
calibration,calibration,default,64,64,3,1234,16,0,100,570779,14150,435675,15727,2479791,2143500,1,139
calibration,calibration,default,64,64,3,1234,17,0,100,569778,14080,435351,13929,2474073,2078703,1,140
calibration,calibration,default,64,64,3,1234,18,0,100,567648,13905,433667,12915,2466644,2006589,1,139
calibration,calibration,default,64,64,3,1234,19,0,100,566622,13874,432773,13874,2462503,2022509,1,138
calibration,calibration,default,64,64,3,1234,20,0,46,718092,17530,569273,17846,3256782,2673063,1,139
calibration,calibration,default,128,128,3,1234,1,0,60,696601,13616,611687,25259,3728254,2648191,1,160
calibration,calibration,default,128,128,3,1234,2,0,61,690948,13736,605289,24166,3691444,2703963,1,164
calibration,calibration,default,128,128,3,1234,3,0,63,668928,13679,586482,23796,3579038,2565191,1,161
calibration,calibration,default,128,128,3,1234,4,0,100,657561,14215,540527,21614,3216687,2565514,1,162
