label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
optimized,optimized,default,64,64,3,1234,1,0,55,632272,24522,496877,19504,2855457,3485750,1,143
optimized,optimized,default,64,64,3,1234,2,0,53,645604,22971,507973,18747,2921487,3363887,1,143
optimized,optimized,default,64,64,3,1234,3,0,54,639570,23792,503259,17364,2889210,3325671,1,144
optimized,optimized,default,64,64,3,1234,4,0,55,624906,24056,491171,18006,2823337,3654757,1,143
optimized,optimized,default,64,64,3,1234,5,0,54,633456,23060,498639,16893,2860563,3467455,1,142
optimized,optimized,default,64,64,3,1234,6,0,100,581621,20224,442334,15012,2527465,2702743,1,140
optimized,optimized,default,64,64,3,1234,7,0,69,629963,23762,489382,15749,2793684,3389212,2,143
optimized,optimized,default,64,64,3,1234,8,0,54,640547,26216,505138,14031,2896180,3568277,1,145
optimized,optimized,default,64,64,3,1234,9,0,52,654708,23654,515993,14303,2964694,3317296,1,140
optimized,optimized,default,64,64,3,1234,10,0,54,640599,25678,504991,14783,2895423,3343048,1,144
optimized,optimized,default,64,64,3,1234,11,0,56,615109,22535,484136,13895,2782819,3628640,1,141
optimized,optimized,default,64,64,3,1234,12,0,59,639054,24307,502981,15287,2869613,3328578,2,143
optimized,optimized,default,64,64,3,1234,13,0,51,671825,24840,529421,15500,3037153,3338477,1,141
optimized,optimized,default,64,64,3,1234,14,0,51,663858,24413,522821,14562,3005112,3337310,1,141
optimized,optimized,default,64,64,3,1234,15,0,100,580365,19720,441487,16116,2519722,2564696,1,140
optimized,optimized,default,64,64,3,1234,16,0,53,655795,27459,515390,19357,2962025,3498932,1,145
optimized,optimized,default,64,64,3,1234,17,0,100,580247,18869,441231,15838,2520839,2578698,1,140
optimized,optimized,default,64,64,3,1234,18,0,50,688258,26621,540989,18535,3110018,3569003,1,143
optimized,optimized,default,64,64,3,1234,19,0,100,601115,20089,454902,16258,2605200,2872378,2,140
optimized,optimized,default,64,64,3,1234,20,0,51,682795,25114,537521,19901,3082912,3498630,2,142
optimized,optimized,default,128,128,3,1234,1,0,60,769336,24496,660480,29124,4049292,4197846,1,180
optimized,optimized,default,128,128,3,1234,2,0,58,787206,24756,677640,29715,4143928,4228933,1,179
optimized,optimized,default,128,128,3,1234,3,0,59,776640,26920,666099,27645,4085016,4088878,1,180
optimized,optimized,default,128,128,3,1234,4,0,62,735508,23370,632634,26839,3875503,3895707,1,177
optimized,optimized,default,128,128,3,1234,5,0,60,757989,25871,653109,27967,3996197,4314581,1,177
optimized,optimized,default,128,128,3,1234,6,0,59,777791,25216,668722,28757,4093748,4208297,1,181
optimized,optimized,default,128,128,3,1234,7,0,60,762979,26696,657069,28255,4021535,4054107,1,176
optimized,optimized,default,128,128,3,1234,8,0,61,753121,25319,647463,27684,3965613,4087110,1,177
optimized,optimized,default,128,128,3,1234,9,0,64,717662,25321,617377,26327,3775159,4013895,1,178
optimized,optimized,default,128,128,3,1234,10,0,60,756546,25543,650796,27734,3984874,4046573,1,176
optimized,optimized,default,128,128,3,1234,11,0,93,717104,22849,588010,24462,3514561,3609254,2,177
optimized,optimized,default,128,128,3,1234,12,0,61,757579,26472,651768,28557,3985419,4138841,1,179
optimized,optimized,default,128,128,3,1234,13,0,62,738512,23199,635515,28120,3889327,3953309,1,180
optimized,optimized,default,128,128,3,1234,14,0,61,755265,25743,649763,28957,3975211,4107036,2,180
optimized,optimized,default,128,128,3,1234,15,0,61,759762,26608,651256,28032,3993594,4041029,1,179
optimized,optimized,default,128,128,3,1234,16,0,60,759387,24919,653506,27704,3995415,4048025,1,181
optimized,optimized,default,128,128,3,1234,17,0,57,802855,24571,690967,28885,4225945,4205241,2,181
optimized,optimized,default,128,128,3,1234,18,0,62,742273,25301,638457,27029,3909336,3966838,1,179
optimized,optimized,default,128,128,3,1234,19,0,60,763950,23328,657159,28430,4021730,4009337,1,178
optimized,optimized,default,128,128,3,1234,20,0,100,698302,20493,568334,23230,3395595,3617421,1,178
optimized,optimized,default,256,256,3,1234,1,0,74,1240354,31071,1201868,57439,7900768,6770546,1,328
optimized,optimized,default,256,256,3,1234,2,0,75,1237075,31446,1197817,56110,7876173,6756995,1,327
optimized,optimized,default,256,256,3,1234,3,0,75,1227613,29195,1191163,54607,7827652,7033830,1,325
optimized,optimized,default,256,256,3,1234,4,0,72,1275187,30974,1238019,57037,8138202,7454942,2,323
optimized,optimized,default,256,256,3,1234,5,0,74,1237785,29746,1200443,56098,7895060,6731437,1,326
