label,stage,variant,H,W,K,seed,rep,event,value,unit,counter_runtime_ns,pct_enabled
optimized,optimized,default,64,64,3,1234,1,L1-dcache-loads,632272,,519841,55
optimized,optimized,default,64,64,3,1234,1,L1-dcache-load-misses,24522,,519841,55
optimized,optimized,default,64,64,3,1234,1,branch-instructions,496877,,519841,55
optimized,optimized,default,64,64,3,1234,1,branch-misses,19504,,519841,55
optimized,optimized,default,64,64,3,1234,1,instructions,2855457,,519841,55
optimized,optimized,default,64,64,3,1234,1,cpu-cycles,3485750,,519841,55
optimized,optimized,default,64,64,3,1234,1,context-switches,1,,944684,100
optimized,optimized,default,64,64,3,1234,1,page-faults,143,,944684,100
optimized,optimized,default,64,64,3,1234,2,L1-dcache-loads,645604,,489211,53
optimized,optimized,default,64,64,3,1234,2,L1-dcache-load-misses,22971,,489211,53
optimized,optimized,default,64,64,3,1234,2,branch-instructions,507973,,489211,53
optimized,optimized,default,64,64,3,1234,2,branch-misses,18747,,489211,53
optimized,optimized,default,64,64,3,1234,2,instructions,2921487,,489211,53
optimized,optimized,default,64,64,3,1234,2,cpu-cycles,3363887,,489211,53
optimized,optimized,default,64,64,3,1234,2,context-switches,1,,916050,100
optimized,optimized,default,64,64,3,1234,2,page-faults,143,,916050,100
optimized,optimized,default,64,64,3,1234,3,L1-dcache-loads,639570,,491870,54
optimized,optimized,default,64,64,3,1234,3,L1-dcache-load-misses,23792,,491870,54
optimized,optimized,default,64,64,3,1234,3,branch-instructions,503259,,491870,54
optimized,optimized,default,64,64,3,1234,3,branch-misses,17364,,491870,54
optimized,optimized,default,64,64,3,1234,3,instructions,2889210,,491870,54
optimized,optimized,default,64,64,3,1234,3,cpu-cycles,3325671,,491870,54
optimized,optimized,default,64,64,3,1234,3,context-switches,1,,907468,100
optimized,optimized,default,64,64,3,1234,3,page-faults,144,,907468,100
optimized,optimized,default,64,64,3,1234,4,L1-dcache-loads,624906,,555952,55
optimized,optimized,default,64,64,3,1234,4,L1-dcache-load-misses,24056,,555952,55
optimized,optimized,default,64,64,3,1234,4,branch-instructions,491171,,555952,55
optimized,optimized,default,64,64,3,1234,4,branch-misses,18006,,555952,55
optimized,optimized,default,64,64,3,1234,4,instructions,2823337,,555952,55
optimized,optimized,default,64,64,3,1234,4,cpu-cycles,3654757,,555952,55
optimized,optimized,default,64,64,3,1234,4,context-switches,1,,998373,100
optimized,optimized,default,64,64,3,1234,4,page-faults,143,,998373,100
optimized,optimized,default,64,64,3,1234,5,L1-dcache-loads,633456,,518038,54
optimized,optimized,default,64,64,3,1234,5,L1-dcache-load-misses,23060,,518038,54
optimized,optimized,default,64,64,3,1234,5,branch-instructions,498639,,518038,54
optimized,optimized,default,64,64,3,1234,5,branch-misses,16893,,518038,54
optimized,optimized,default,64,64,3,1234,5,instructions,2860563,,518038,54
optimized,optimized,default,64,64,3,1234,5,cpu-cycles,3467455,,518038,54
optimized,optimized,default,64,64,3,1234,5,context-switches,1,,948582,100
optimized,optimized,default,64,64,3,1234,5,page-faults,142,,948582,100
optimized,optimized,default,64,64,3,1234,6,L1-dcache-loads,581621,,801593,100
optimized,optimized,default,64,64,3,1234,6,L1-dcache-load-misses,20224,,801593,100
optimized,optimized,default,64,64,3,1234,6,branch-instructions,442334,,801593,100
optimized,optimized,default,64,64,3,1234,6,branch-misses,15012,,801593,100
