label,stage,variant,H,W,K,n,L1-dcache-loads_median,L1-dcache-load-misses_median,branch-instructions_median,branch-misses_median,instructions_median,cpu-cycles_median,context-switches_median,page-faults_median,L1D_MPKI_median,L1D_miss_rate_median,branch_MPKI_median,branch_rate_median,branch_miss_rate_median,IPC_median,CPI_median,L1-dcache-loads_mad,L1-dcache-load-misses_mad,branch-instructions_mad,branch-misses_mad,instructions_mad,cpu-cycles_mad,context-switches_mad,page-faults_mad,L1D_MPKI_mad,L1D_miss_rate_mad,branch_MPKI_mad,branch_rate_mad,branch_miss_rate_mad,IPC_mad,CPI_mad
calibration,calibration,default,64,64,3,20,569690.5,14111,435183,14286.5,2474298,2125006.5,1,139,5.589506,0.024483035,5.489272,0.17567106,0.031294846,1.2065458,0.82882998,4094,408.5,3176,1192,1.546e+04,9.497e+04,0,1,0.103,0.0002761,0.1874,0.0002954,0.001165,0.02794,0.0192
calibration,calibration,default,128,128,3,20,668632,14059,557545.5,21641.5,3317805,2565352.5,1,162,4.3597795,0.021362516,6.4827453,0.16788077,0.038768265,1.3169473,0.7593529,1.122e+04,390,1.757e+04,1808,1.036e+05,8.038e+04,0,1,0.1726,0.000747,0.241,0.0002628,0.001733,0.04724,0.02632
calibration,calibration,default,256,256,3,20,1033236.5,15692,1044477,52734,6888032,4173062,1,263,2.2431782,0.01481345,7.6366345,0.1522069,0.049728355,1.617763,0.61814316,1.438e+04,938.5,5.553e+04,2756,3.639e+05,1.329e+05,0,1,0.2158,0.001087,0.1511,0.0006964,0.001305,0.05009,0.01919
calibration,calibration,default,512,512,3,20,2438240.5,25612,2744548.5,155596,18931182,10285192,1,648.5,1.3782835,0.010521915,8.1797771,0.14502422,0.056226395,1.8257859,0.54772669,1.211e+04,1742,7.971e+04,5406,6.191e+05,2.079e+05,0,1.5,0.1218,0.000743,0.0386,7.702e-05,0.0006279,0.02925,0.008652
calibration,calibration,default,1024,1024,3,20,8095025,56117,9550531.5,557760.5,66876261,35167248,1,2186,0.83864887,0.0069256462,8.3693867,0.14280788,0.05848308,1.8832573,0.5309957,2.016e+04,2506,2.253e+04,4844,1.69e+05,4.029e+05,0,1,0.03814,0.0002971,0.02731,1.188e-05,0.0002513,0.02387,0.006648
calibration,calibration,default,2048,2048,3,20,30794490,170681.5,36752740,2167874.5,2.5843397e+08,1.3788944e+08,1,8334,0.66097401,0.0055481006,8.384559,0.14219969,0.058963037,1.8739558,0.53363077,3.965e+04,2278,4.705e+04,2678,3.317e+05,9.786e+05,0,1,0.00799,6.665e-05,0.008201,2.141e-06,6.14e-05,0.01227,0.003493
calibration,calibration,default,4096,4096,3,20,1.2096204e+08,661692,1.4475909e+08,8537934,1.0190968e+09,5.4209856e+08,2,32918,0.64884104,0.0054667018,8.3795961,0.14204667,0.058989756,1.8787829,0.5322596,9.433e+04,5309,1.1e+05,8970,7.755e+05,1.674e+06,0.5,1,0.004847,4.09e-05,0.002327,9.981e-07,1.834e-05,0.006229,0.001759
calibration,calibration,default,8192,8192,3,20,4.8244942e+08,2663521,5.7757076e+08,34039738,4.0668738e+09,2.1701119e+09,6,131239,0.65492528,0.005520737,8.3706688,0.14201818,0.058941026,1.8739306,0.53363772,4.747e+04,1.563e+04,5.08e+04,7306,3.41e+05,4.807e+06,1,1,0.003962,3.348e-05,0.001708,9.485e-07,1.165e-05,0.004361,0.001245
calibration,calibration,default,16384,16384,3,20,1.9287673e+09,10399542,2.3095452e+09,1.3600099e+08,1.6262187e+10,8.659766e+09,16,524486.5,0.63948174,0.0053917533,8.3629759,0.14201877,0.058886028,1.8778711,0.53251794,7.229e+04,5.661e+04,1.037e+05,2.068e+04,7.13e+05,1.134e+07,2,0.5,0.003537,2.954e-05,0.001114,8.753e-07,7.811e-06,0.002537,0.0007195
naive,naive,default,64,64,3,20,684788.5,16409.5,533171,16883.5,3031112,2497215,1,143.5,5.4385382,0.024389671,5.5333472,0.17530845,0.031615023,1.228253,0.81421342,3.195e+04,823,3.278e+04,697,1.944e+05,1.023e+05,0,0.5,0.3314,0.001308,0.1632,0.0002857,0.000967,0.07308,0.04577
naive,naive,default,128,128,3,20,1109678,14856.5,923974,24017.5,5461822,3076905.5,1,178.5,2.8101028,0.01361789,4.4474119,0.16916959,0.026314437,1.6762859,0.59673066,7.726e+04,789,8.607e+04,1284,5.446e+05,1.602e+05,0,0.5,0.3818,0.001629,0.1199,0.0002723,0.0006429,0.1217,0.04284
naive,naive,default,256,256,3,20,2480825.5,14745,2152258,50534.5,13058917,5480223.5,1,327,1.1157963,0.005886165,3.931812,0.16482033,0.023834878,2.3664906,0.42259254,4.975e+04,973.5,4.876e+04,1078,3.135e+05,8.681e+04,0,1,0.07752,0.0004077,0.05823,0.0002107,0.0003629,0.06883,0.01195
naive,naive,default,512,512,3,20,7722804,26661,6829161.5,154763.5,41886072,15371436,1,903,0.64079087,0.0034749133,3.7187816,0.16304806,0.022809712,2.7097801,0.36903395,3.077e+04,2057,2.494e+04,1671,1.53e+05,1.172e+05,0,1,0.04907,0.0002658,0.03108,8.382e-06,0.000202,0.02355,0.003191
naive,naive,default,1024,1024,3,20,28632476,62231.5,25451082,558891.5,1.5653927e+08,55997913,1,3209,0.40118227,0.0021899731,3.5836199,0.16258602,0.022041751,2.7833462,0.35927982,8.145e+04,3266,7.481e+04,3095,4.596e+05,2.122e+05,0,1,0.02187,0.0001195,0.007365,3.3e-06,4.798e-05,0.01646,0.002112
naive,naive,default,2048,2048,3,20,1.1137603e+08,222201.5,99145571,2161028,6.1026256e+08,2.1638879e+08,2,12429,0.36564015,0.0020027851,3.5425269,0.16246383,0.021805048,2.8187943,0.35476162,1.033e+05,2.297e+04,9.266e+04,3110,5.718e+05,4.716e+05,1,1,0.03724,0.000204,0.003672,6.902e-07,2.26e-05,0.008867,0.001119
naive,naive,default,4096,4096,3,20,4.4171129e+08,878146,3.9333331e+08,8544673,2.4216078e+09,8.5614314e+08,3,49301,0.36259144,0.0019877207,3.5282887,0.16242742,0.02172164,2.8284362,0.35355229,1.967e+05,5.352e+04,1.833e+05,5851,1.146e+06,1.41e+06,1,1,0.02187,0.0001199,0.001469,8.848e-07,8.956e-06,0.005489,0.0006874
naive,naive,default,8192,8192,3,20,1.7638038e+09,3906855,1.5708968e+09,34077069,9.6722526e+09,3.4107801e+09,7,196774,0.40400378,0.0022153993,3.5233732,0.16241318,0.0216939,2.8357006,0.35264655,2.183e+05,1.089e+05,2.018e+05,7946,1.245e+06,3.283e+06,1,1,0.01137,6.23e-05,0.0007729,4.899e-07,4.813e-06,0.002574,0.0003202
naive,naive,default,16384,16384,3,20,7.0534142e+09,29278275,6.2831238e+09,1.3616966e+08,3.8687046e+10,1.3538115e+10,22,786629,0.75679635,0.0041509283,3.5199083,0.16240907,0.021673151,2.8575297,0.34995262,3.261e+05,3.168e+05,2.99e+05,2.681e+04,1.849e+06,1.279e+07,2,1,0.008171,4.482e-05,0.0007157,1.283e-07,4.396e-06,0.002841,0.0003476
reorder_base,reorder,default,64,64,3,20,705733,15742,524066,18073.5,3083216.5,2489168.5,1,142,5.2764212,0.022466532,5.8392445,0.17026026,0.034360115,1.2489407,0.80068651,4.173e+04,971,3.287e+04,1127,1.971e+05,1.094e+05,0,1,0.2598,0.001279,0.2229,0.0003894,0.001437,0.03034,0.01899
reorder_base,reorder,default,128,128,3,20,1124737,15655,818400.5,25201.5,5174014.5,2887800.5,1,178.5,3.0896012,0.014200053,4.9002467,0.15784077,0.030829665,1.7659148,0.56627965,2.419e+04,642.5,1.648e+04,1299,1.183e+05,7.244e+04,0,1,0.2838,0.0009807,0.1286,0.0001527,0.0007437,0.05662,0.01832
reorder_base,reorder,default,256,256,3,20,2539147.5,18932,1808313.5,53156.5,12161852,5163345,1,326,1.6097731,0.0077092499,4.420749,0.14873934,0.029565493,2.3420105,0.42698373,2.553e+04,1334,1.759e+04,1314,1.41e+05,6.132e+04,0,1,0.1544,0.0006157,0.05255,6.258e-05,0.0002629,0.06178,0.01157
reorder_base,reorder,default,512,512,3,20,7749422,56339,5465613,156805,37666173,14188132,1,903,1.5264088,0.0074004064,4.2117586,0.14510667,0.028971872,2.6341058,0.37963566,4.568e+04,5955,3.202e+04,2273,2.249e+05,5.941e+04,0,1,0.1834,0.0008897,0.02155,3.158e-05,0.0001022,0.04096,0.005902
reorder_base,reorder,default,1024,1024,3,20,28673161,197043.5,20117030,567246,1.3966774e+08,52396824,1,3209.5,1.4300966,0.0069609816,4.0675236,0.14403788,0.028212161,2.6474776,0.37771843,2.887e+05,8802,2.018e+05,5938,1.402e+06,4.49e+05,0.5,0.5,0.06472,0.0003132,0.005195,6.894e-06,2.674e-05,0.02006,0.002884
reorder_base,reorder,default,2048,2048,3,20,1.1123466e+08,1069593.5,77941222,2173159.5,5.4221087e+08,2.2062989e+08,1,12429,1.9735122,0.0096198806,4.0078412,0.14374776,0.027879743,2.4539803,0.40750143,2.339e+05,2.938e+04,1.641e+05,4386,1.138e+06,6.957e+05,1,1,0.05528,0.0002678,0.001101,1.433e-06,7.638e-06,0.007658,0.001272
reorder_base,reorder,default,4096,4096,3,20,4.4152508e+08,4994427,3.0924292e+08,8574359,2.152334e+09,9.1613871e+08,3,49301,2.3198256,0.011308595,3.983022,0.14367754,0.027721683,2.3481349,0.42586993,8.872e+04,6.431e+04,6.453e+04,3961,4.527e+05,1.137e+06,1,1,0.0299,0.0001457,0.001134,7.882e-07,9.114e-06,0.003093,0.0005611
