stage,label,version,H,W,K,seed,rep,correct,naive_ms,stage_ms,gflops,speedup
reorder,base,default,64,64,3,1234,1,yes,0.019,0.014,5.26,1.38
reorder,base,default,64,64,3,1234,2,yes,0.019,0.014,5.34,1.38
reorder,base,default,64,64,3,1234,3,yes,0.046,0.032,2.30,1.43
reorder,base,default,64,64,3,1234,4,yes,0.017,0.014,5.19,1.22
reorder,base,default,64,64,3,1234,5,yes,0.020,0.014,5.33,1.47
reorder,base,default,64,64,3,1234,6,yes,0.020,0.012,6.14,1.69
reorder,base,default,64,64,3,1234,7,yes,0.043,0.028,2.63,1.54
reorder,base,default,64,64,3,1234,8,yes,0.049,0.038,1.96,1.30
reorder,base,default,64,64,3,1234,9,yes,0.018,0.013,5.82,1.42
reorder,base,default,64,64,3,1234,10,yes,0.020,0.014,5.11,1.36
reorder,base,default,64,64,3,1234,11,yes,0.029,0.017,4.35,1.70
reorder,base,default,64,64,3,1234,12,yes,0.034,0.020,3.70,1.70
reorder,base,default,64,64,3,1234,13,yes,0.034,0.023,3.17,1.45
reorder,base,default,64,64,3,1234,14,yes,0.031,0.021,3.59,1.51
reorder,base,default,64,64,3,1234,15,yes,0.026,0.021,3.50,1.23
reorder,base,default,64,64,3,1234,16,yes,0.028,0.019,3.87,1.45
reorder,base,default,64,64,3,1234,17,yes,0.029,0.021,3.45,1.35
reorder,base,default,64,64,3,1234,18,yes,0.035,0.026,2.81,1.32
reorder,base,default,64,64,3,1234,19,yes,0.032,0.019,3.88,1.70
reorder,base,default,64,64,3,1234,20,yes,0.035,0.024,3.04,1.45
reorder,base,default,128,128,3,1234,1,yes,0.140,0.100,2.94,1.40
reorder,base,default,128,128,3,1234,2,yes,0.133,0.097,3.04,1.37
reorder,base,default,128,128,3,1234,3,yes,0.135,0.085,3.49,1.60
reorder,base,default,128,128,3,1234,4,yes,0.114,0.084,3.50,1.36
reorder,base,default,128,128,3,1234,5,yes,0.105,0.078,3.80,1.35
reorder,base,default,128,128,3,1234,6,yes,0.093,0.070,4.22,1.34
reorder,base,default,128,128,3,1234,7,yes,0.089,0.065,4.51,1.36
reorder,base,default,128,128,3,1234,8,yes,0.090,0.054,5.44,1.67
reorder,base,default,128,128,3,1234,9,yes,0.089,0.059,5.03,1.51
reorder,base,default,128,128,3,1234,10,yes,0.093,0.055,5.33,1.68
reorder,base,default,128,128,3,1234,11,yes,0.079,0.053,5.55,1.48
reorder,base,default,128,128,3,1234,12,yes,0.068,0.053,5.53,1.28
reorder,base,default,128,128,3,1234,13,yes,0.070,0.053,5.53,1.31
reorder,base,default,128,128,3,1234,14,yes,0.083,0.053,5.55,1.56
reorder,base,default,128,128,3,1234,15,yes,0.081,0.053,5.53,1.51
reorder,base,default,128,128,3,1234,16,yes,0.079,0.053,5.54,1.48
reorder,base,default,128,128,3,1234,17,yes,0.081,0.055,5.38,1.48
reorder,base,default,128,128,3,1234,18,yes,0.077,0.051,5.76,1.49
reorder,base,default,128,128,3,1234,19,yes,0.071,0.055,5.40,1.30
