label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults,L1D_MPKI,L1D_miss_rate,branch_MPKI,branch_rate,branch_miss_rate,IPC,CPI
calibration,calibration,default,64,64,3,1234,1,0,56,591749,16542,468327,18118,2682218,2768517,1,139,6.16728,0.0279544,6.75486,0.174604,0.0386866,0.968828,1.03217
calibration,calibration,default,64,64,3,1234,2,0,100,584885,14723,445244,15241,2535589,2278099,2,141,5.80654,0.0251725,6.01083,0.175598,0.0342307,1.11303,0.89845
calibration,calibration,default,64,64,3,1234,3,0,53,618738,14848,490936,15640,2805846,2221547,1,139,5.29181,0.0239972,5.57408,0.174969,0.0318575,1.26301,0.791757
calibration,calibration,default,64,64,3,1234,4,0,55,599677,14918,474883,14644,2718516,2152208,1,141,5.48755,0.0248767,5.38676,0.174685,0.0308371,1.26313,0.791685
calibration,calibration,default,64,64,3,1234,5,0,100,564542,13701,431396,13014,2451565,2064048,1,139,5.58867,0.0242692,5.30845,0.175968,0.0301672,1.18775,0.841931
calibration,calibration,default,64,64,3,1234,6,0,54,615916,15078,487785,15893,2791945,2264218,1,139,5.40054,0.0244806,5.69245,0.174712,0.032582,1.23307,0.810982
calibration,calibration,default,64,64,3,1234,7,0,100,564798,14142,431466,12759,2455172,1988604,1,136,5.76009,0.025039,5.19678,0.175738,0.0295713,1.23462,0.809965
calibration,calibration,default,64,64,3,1234,8,0,100,568415,13758,434462,13573,2468311,2147060,1,141,5.57385,0.0242041,5.4989,0.176016,0.0312409,1.14962,0.86985
calibration,calibration,default,64,64,3,1234,9,0,53,619253,14992,490838,15254,2809910,2224261,1,140,5.3354,0.0242098,5.42864,0.174681,0.0310775,1.2633,0.791577
calibration,calibration,default,64,64,3,1234,10,0,100,566799,14021,432788,14734,2462629,2089216,1,138,5.69351,0.0247372,5.98304,0.175742,0.0340444,1.17873,0.848368
calibration,calibration,default,64,64,3,1234,11,0,100,566396,13704,432549,12738,2462535,2031603,1,138,5.565,0.0241951,5.17272,0.175652,0.0294487,1.21211,0.825005
calibration,calibration,default,64,64,3,1234,12,0,52,630248,15218,500109,14852,2855929,2229146,1,141,5.32856,0.0241461,5.20041,0.175113,0.0296975,1.28118,0.780533
calibration,calibration,default,64,64,3,1234,13,0,100,568092,13664,433456,13116,2470899,2057407,1,139,5.52997,0.0240524,5.30819,0.175424,0.0302591,1.20098,0.832655
calibration,calibration,default,64,64,3,1234,14,0,100,568583,13802,434466,13074,2468903,2106513,1,140,5.59034,0.0242744,5.29547,0.175975,0.0300921,1.17203,0.853218
calibration,calibration,default,64,64,3,1234,15,0,100,569603,14067,435015,13694,2474523,2066734,1,139,5.68473,0.0246961,5.534,0.175798,0.0314794,1.19731,0.835205
calibration,calibration,default,64,64,3,1234,16,0,100,570779,14150,435675,15727,2479791,2143500,1,139,5.70613,0.0247907,6.34207,0.17569,0.036098,1.15689,0.864387
