matrix_size,stage,best_variant,speedup,std_dev,note
64,Loop reordering,base,1.45,,
64,Loop unrolling,v5,3.04,,
64,Tiling,tile_64,1.09,0.1,
64,SIMD,simd256_v3,10.25,,
64,Optimised,conv_optimized,10.72,0.01,
128,Loop reordering,base,1.45,,
128,Loop unrolling,v5,3.13,,
128,Tiling,tile_128,1.03,0.19,
128,SIMD,simd128_v4,11.32,,
128,Optimised,conv_optimized,11.34,0.01,
256,Loop reordering,base,1.49,,
256,Loop unrolling,v5,2.95,,
256,Tiling,tile_512,1.39,0.1,baseline artifact at N=256
256,SIMD,simd256_v3,13.98,,
256,Optimised,conv_optimized,14.03,0.01,
512,Loop reordering,base,1.5,,
512,Loop unrolling,v5,3.13,,
512,Tiling,tile_1024,1.0,0.12,
512,SIMD,simd256_v3,14.48,,
512,Optimised,conv_optimized,17.39,0.0,
1024,Loop reordering,base,1.52,,
1024,Loop unrolling,v5,3.03,,
1024,Tiling,tile_256,1.03,0.09,
1024,SIMD,simd256_v3,14.52,,
1024,Optimised,conv_optimized,18.1,0.0,
2048,Loop reordering,base,1.02,,
2048,Loop unrolling,v5,2.95,,
2048,Tiling,tile_1024,1.02,0.08,
2048,SIMD,simd256_v3,10.98,,
2048,Optimised,conv_optimized,15.33,0.01,
4096,Loop reordering,base,0.88,,
4096,Loop unrolling,v5,2.92,,
4096,Tiling,tile_256,1.03,0.05,
4096,SIMD,simd256_v3,9.13,,
4096,Optimised,conv_optimized,14.18,0.01,
8192,Loop reordering,base,0.89,,
8192,Loop unrolling,v5,2.92,,
8192,Tiling,tile_512,1.02,0.05,
8192,SIMD,simd128_v4,8.14,,
8192,Optimised,conv_optimized,14.01,0.02,
16384,Loop reordering,base,0.89,,
16384,Loop unrolling,v5,2.79,,
16384,Tiling,tile_128,1.03,0.06,
16384,SIMD,simd128_v4,7.73,,
16384,Optimised,conv_optimized,8.11,0.02,
