variant,a_degree,b_degree,M,N,K,seed,sample,time_ms,gflops,baseline_ms,speedup,correct
v1,1,16,256,256,256,1234,1,12.434610,2.6985,12.685825,1.020203,yes
v1,1,16,256,256,256,1234,2,12.491748,2.6861,12.685825,1.015536,yes
v1,1,16,256,256,256,1234,3,12.425046,2.7005,12.685825,1.020988,yes
v1,1,16,256,256,256,1234,4,12.406467,2.7046,12.685825,1.022517,yes
v1,1,16,256,256,256,1234,5,12.375246,2.7114,12.685825,1.025097,yes
v1,1,16,512,512,512,1234,1,120.605950,2.2257,121.347161,1.006146,yes
v1,1,16,512,512,512,1234,2,121.920969,2.2017,121.347161,0.995294,yes
v1,1,16,512,512,512,1234,3,120.639000,2.2251,121.347161,1.005870,yes
v1,1,16,512,512,512,1234,4,120.778096,2.2226,121.347161,1.004712,yes
v1,1,16,512,512,512,1234,5,120.624209,2.2254,121.347161,1.005993,yes
v1,1,16,1024,1024,1024,1234,1,1056.115578,2.0334,1058.537064,1.002293,na
v1,1,16,1024,1024,1024,1234,2,1055.763512,2.0341,1058.537064,1.002627,na
v1,1,16,1024,1024,1024,1234,3,1061.537330,2.0230,1058.537064,0.997174,na
v1,1,16,1024,1024,1024,1234,4,1051.522998,2.0423,1058.537064,1.006670,na
v1,1,16,1024,1024,1024,1234,5,1049.774809,2.0457,1058.537064,1.008347,na
v1,1,16,on,256,256,256,1234,1,12.879915,2.6052,12.644623,0.981732,yes
v1,1,16,on,256,256,256,1234,2,12.455615,2.6939,12.644623,1.015175,yes
v1,1,16,on,256,256,256,1234,3,12.497575,2.6849,12.644623,1.011766,yes
v1,1,16,on,256,256,256,1234,4,12.425546,2.7004,12.644623,1.017631,yes
v1,1,16,on,256,256,256,1234,5,12.411924,2.7034,12.644623,1.018748,yes
v1,1,16,on,512,512,512,1234,1,120.732210,2.2234,119.794018,0.992229,yes
v1,1,16,on,512,512,512,1234,2,121.071715,2.2172,119.794018,0.989447,yes
v1,1,16,on,512,512,512,1234,3,120.665154,2.2246,119.794018,0.992781,yes
v1,1,16,on,512,512,512,1234,4,120.761815,2.2229,119.794018,0.991986,yes
v1,1,16,on,512,512,512,1234,5,120.675609,2.2244,119.794018,0.992695,yes
v1,1,16,on,1024,1024,1024,1234,1,1059.144194,2.0276,1045.347037,0.986973,na
v1,1,16,on,1024,1024,1024,1234,2,1056.424110,2.0328,1045.347037,0.989515,na
v1,1,16,on,1024,1024,1024,1234,3,1051.890439,2.0415,1045.347037,0.993779,na
v1,1,16,on,1024,1024,1024,1234,4,1054.014311,2.0374,1045.347037,0.991777,na
v1,1,16,on,1024,1024,1024,1234,5,1050.003640,2.0452,1045.347037,0.995565,na
v1,1,16,on,2048,2048,2048,1234,1,9193.344963,1.8687,8861.565458,0.963911,na
v1,1,16,on,2048,2048,2048,1234,2,8813.333358,1.9493,8861.565458,1.005473,na
v1,1,16,on,2048,2048,2048,1234,3,8825.858409,1.9465,8861.565458,1.004046,na
v1,1,16,on,2048,2048,2048,1234,4,8802.253717,1.9518,8861.565458,1.006738,na
v1,1,16,on,2048,2048,2048,1234,5,8814.765143,1.9490,8861.565458,1.005309,na
v1,1,48,on,256,256,256,1234,1,12.499760,2.6844,12.644623,1.011589,yes
v1,1,48,on,256,256,256,1234,2,12.399540,2.7061,12.644623,1.019765,yes
v1,1,48,on,256,256,256,1234,3,12.376323,2.7112,12.644623,1.021678,yes
v1,1,48,on,256,256,256,1234,4,12.395077,2.7071,12.644623,1.020133,yes
v1,1,48,on,256,256,256,1234,5,12.384752,2.7093,12.644623,1.020983,yes
v1,1,48,on,512,512,512,1234,1,120.671895,2.2245,119.794018,0.992725,yes
v1,1,48,on,512,512,512,1234,2,120.644605,2.2250,119.794018,0.992950,yes
v1,1,48,on,512,512,512,1234,3,120.629134,2.2253,119.794018,0.993077,yes
v1,1,48,on,512,512,512,1234,4,120.494827,2.2278,119.794018,0.994184,yes
v1,1,48,on,512,512,512,1234,5,120.492111,2.2278,119.794018,0.994206,yes
v1,1,48,on,1024,1024,1024,1234,1,1049.920769,2.0454,1045.347037,0.995644,na
v1,1,48,on,1024,1024,1024,1234,2,1050.177695,2.0449,1045.347037,0.995400,na
v1,1,48,on,1024,1024,1024,1234,3,1050.713005,2.0438,1045.347037,0.994893,na
v1,1,48,on,1024,1024,1024,1234,4,1049.923671,2.0454,1045.347037,0.995641,na
v1,1,48,on,1024,1024,1024,1234,5,1050.596841,2.0441,1045.347037,0.995003,na
v1,1,48,on,2048,2048,2048,1234,1,8828.014030,1.9461,8861.565458,1.003801,na
v1,1,48,on,2048,2048,2048,1234,2,8810.670520,1.9499,8861.565458,1.005777,na
v1,1,48,on,2048,2048,2048,1234,3,8809.627711,1.9501,8861.565458,1.005896,na
v1,1,48,on,2048,2048,2048,1234,4,8807.541746,1.9506,8861.565458,1.006134,na
v1,1,48,on,2048,2048,2048,1234,5,8805.605038,1.9510,8861.565458,1.006355,na
v1,1,80,on,256,256,256,1234,1,12.390532,2.7081,12.644623,1.020507,yes
v1,1,80,on,256,256,256,1234,2,12.399516,2.7061,12.644623,1.019767,yes
v1,1,80,on,256,256,256,1234,3,12.377807,2.7109,12.644623,1.021556,yes
v1,1,80,on,256,256,256,1234,4,12.377467,2.7109,12.644623,1.021584,yes
v1,1,80,on,256,256,256,1234,5,12.383461,2.7096,12.644623,1.021090,yes
v1,1,80,on,512,512,512,1234,1,120.720708,2.2236,119.794018,0.992324,yes
v1,1,80,on,512,512,512,1234,2,120.720213,2.2236,119.794018,0.992328,yes
v1,1,80,on,512,512,512,1234,3,120.803468,2.2221,119.794018,0.991644,yes
v1,1,80,on,512,512,512,1234,4,120.703159,2.2239,119.794018,0.992468,yes
v1,1,80,on,512,512,512,1234,5,120.754689,2.2230,119.794018,0.992044,yes
v1,1,80,on,1024,1024,1024,1234,1,1049.751489,2.0457,1045.347037,0.995804,na
v1,1,80,on,1024,1024,1024,1234,2,1049.914465,2.0454,1045.347037,0.995650,na
v1,1,80,on,1024,1024,1024,1234,3,1050.633554,2.0440,1045.347037,0.994968,na
v1,1,80,on,1024,1024,1024,1234,4,1049.865293,2.0455,1045.347037,0.995696,na
v1,1,80,on,1024,1024,1024,1234,5,1049.704715,2.0458,1045.347037,0.995849,na
v1,1,80,on,2048,2048,2048,1234,1,8973.555743,1.9145,8861.565458,0.987520,na
v1,1,80,on,2048,2048,2048,1234,2,8838.526261,1.9437,8861.565458,1.002607,na
v1,1,80,on,2048,2048,2048,1234,3,8806.015920,1.9509,8861.565458,1.006308,na
v1,1,80,on,2048,2048,2048,1234,4,8868.181076,1.9372,8861.565458,0.999254,na
v1,1,80,on,2048,2048,2048,1234,5,8888.580153,1.9328,8861.565458,0.996961,na
v1,1,128,on,256,256,256,1234,1,12.426802,2.7002,12.644623,1.017528,yes
v1,1,128,on,256,256,256,1234,2,12.427364,2.7000,12.644623,1.017482,yes
v1,1,128,on,256,256,256,1234,3,12.437885,2.6978,12.644623,1.016622,yes
v1,1,128,on,256,256,256,1234,4,12.462263,2.6925,12.644623,1.014633,yes
v1,1,128,on,256,256,256,1234,5,12.402700,2.7054,12.644623,1.019506,yes
v1,1,128,on,512,512,512,1234,1,120.502049,2.2276,119.794018,0.994124,yes
v1,1,128,on,512,512,512,1234,2,120.868331,2.2209,119.794018,0.991112,yes
v1,1,128,on,512,512,512,1234,3,120.900269,2.2203,119.794018,0.990850,yes
v1,1,128,on,512,512,512,1234,4,120.933964,2.2197,119.794018,0.990574,yes
v1,1,128,on,512,512,512,1234,5,120.588323,2.2260,119.794018,0.993413,yes
v1,1,128,on,1024,1024,1024,1234,1,1053.386323,2.0386,1045.347037,0.992368,na
v1,1,128,on,1024,1024,1024,1234,2,1054.848060,2.0358,1045.347037,0.990993,na
v1,1,128,on,1024,1024,1024,1234,3,1056.411510,2.0328,1045.347037,0.989526,na
v1,1,128,on,1024,1024,1024,1234,4,1056.466664,2.0327,1045.347037,0.989475,na
v1,1,128,on,1024,1024,1024,1234,5,1050.866368,2.0435,1045.347037,0.994748,na
v1,1,128,on,2048,2048,2048,1234,1,8921.383214,1.9257,8861.565458,0.993295,na
v1,1,128,on,2048,2048,2048,1234,2,8911.192287,1.9279,8861.565458,0.994431,na
v1,1,128,on,2048,2048,2048,1234,3,9044.337459,1.8995,8861.565458,0.979792,na
v1,1,128,on,2048,2048,2048,1234,4,9045.294220,1.8993,8861.565458,0.979688,na
v1,1,128,on,2048,2048,2048,1234,5,8954.641536,1.9185,8861.565458,0.989606,na
v1,3,16,on,256,256,256,1234,1,12.649330,2.6527,12.644623,0.999628,yes
v1,3,16,on,256,256,256,1234,2,12.454325,2.6942,12.644623,1.015280,yes
v1,3,16,on,256,256,256,1234,3,12.413045,2.7032,12.644623,1.018656,yes
v1,3,16,on,256,256,256,1234,4,12.393161,2.7075,12.644623,1.020290,yes
v1,3,16,on,256,256,256,1234,5,12.411848,2.7034,12.644623,1.018754,yes
v1,3,16,on,512,512,512,1234,1,120.955052,2.2193,119.794018,0.990401,yes
v1,3,16,on,512,512,512,1234,2,121.059891,2.2174,119.794018,0.989543,yes
v1,3,16,on,512,512,512,1234,3,120.925174,2.2198,119.794018,0.990646,yes
v1,3,16,on,512,512,512,1234,4,120.821449,2.2218,119.794018,0.991496,yes
v1,3,16,on,512,512,512,1234,5,120.917679,2.2200,119.794018,0.990707,yes
v1,3,16,on,1024,1024,1024,1234,1,1052.405013,2.0405,1045.347037,0.993293,na
v1,3,16,on,1024,1024,1024,1234,2,1060.090616,2.0258,1045.347037,0.986092,na
v1,3,16,on,1024,1024,1024,1234,3,1054.426559,2.0366,1045.347037,0.991389,na
v1,3,16,on,1024,1024,1024,1234,4,1052.109628,2.0411,1045.347037,0.993572,na
v1,3,16,on,1024,1024,1024,1234,5,1055.650362,2.0343,1045.347037,0.990240,na
v1,3,16,on,2048,2048,2048,1234,1,9023.643639,1.9039,8861.565458,0.982038,na
v1,3,16,on,2048,2048,2048,1234,2,8930.823914,1.9237,8861.565458,0.992245,na
